Date,Day,Cases,NewCases,D%Cases,ActiveCases,Deaths,NewDeaths,D%Deaths,MortalityRate,Tests,        NewTests,D%Tests,Recovered,NewRecovered,D%Recovered,Hospitalized,NewHospitalized,D%Hospitalized
2020-06-12,101.0,220749.0,5961.0,1.0277529470920164,107308.0,6308.0,199.0,1.0325748895072844,0.028575440885349423,1315417.0,32939.0,1.0256838713802499,107133.0,4704.0,1.0459244940397738,10121.0,95.0,1.009475364053461
2020-06-13,102.0,225132.0,4383.0,1.019855129581561,106910.0,6498.0,190.0,1.0301204819277108,0.028863067000692928,1338477.0,23060.0,1.017530562551647,111724.0,4591.0,1.0428532758347102,10342.0,221.0,1.0218357869775714
2020-06-14,103.0,229736.0,4604.0,1.0204502247570315,107469.0,6688.0,190.0,1.0292397660818713,0.029111676010725354,1360839.0,22362.0,1.0167070483840963,115579.0,3855.0,1.0345046722279905,10297.0,-45.0,-1.0043702049140526
2020-06-15,104.0,232992.0,3256.0,1.0141727896368005,106723.0,6860.0,172.0,1.0257177033492824,0.029443071006729844,1376478.0,15639.0,1.0114921750478933,119409.0,3830.0,1.0331375076787306,10295.0,-2.0,-1.0001942690626517
2020-06-16,105.0,237156.0,4164.0,1.0178718582612278,104895.0,7056.0,196.0,1.0285714285714285,0.029752567929970147,1396605.0,20127.0,1.014622100752791,125205.0,5796.0,1.0485390548451121,10177.0,-118.0,-1.0115947725262848
2020-06-17,106.0,240908.0,3752.0,1.015820809931016,105029.0,7257.0,201.0,1.028486394557823,0.030123532634864763,1417911.0,21306.0,1.0152555661765497,128622.0,3417.0,1.0272912423625256,10204.0,27.0,1.0026530411712686
2020-06-18,107.0,244388.0,3480.0,1.0144453484317666,105737.0,7461.0,204.0,1.0281107895824722,0.030529322225313845,1439767.0,21856.0,1.015414225575512,131190.0,2568.0,1.0199654802444371,10240.0,36.0,1.0035280282242258
2020-06-19,108.0,247925.0,3537.0,1.0144728873758122,104745.0,7660.0,199.0,1.0266720278783006,0.030896440455783,1461266.0,21499.0,1.014932277236525,135520.0,4330.0,1.0330055644485099,10445.0,205.0,1.02001953125
2020-06-20,109.0,251338.0,3413.0,1.0137662599576485,104714.0,7861.0,201.0,1.0262402088772846,0.03127660759614543,1482563.0,21297.0,1.0145743485443444,138763.0,3243.0,1.0239300472255017,10577.0,132.0,1.0126376256582097
2020-06-21,110.0,254936.0,3598.0,1.014315384064487,104924.0,8045.0,184.0,1.0234066912606539,0.03155693978096463,1504209.0,21646.0,1.0146003913493051,141967.0,3204.0,1.0230897285299396,10566.0,-11.0,-1.001041075146697
2020-06-22,111.0,257447.0,2511.0,1.0098495308626478,103904.0,8223.0,178.0,1.0221255438160348,0.03194055475495927,1517930.0,13721.0,1.0091217377372426,145320.0,3353.0,1.023618164784774,10714.0,148.0,1.0140071928828318
2020-06-23,112.0,260810.0,3363.0,1.0130628828457897,103969.0,8404.0,181.0,1.0220114313510884,0.03222269084774357,1539746.0,21816.0,1.014372204251843,148437.0,3117.0,1.02144921552436,10588.0,-126.0,-1.0119002644503212
2020-06-24,113.0,264689.0,3879.0,1.014872895977915,104514.0,8586.0,182.0,1.021656354117087,0.03243806882794525,1561653.0,21907.0,1.0142276713172174,151589.0,3152.0,1.0212345978428559,10599.0,11.0,1.0010389119758216
2020-06-25,114.0,268602.0,3913.0,1.0147833872960341,103767.0,8761.0,175.0,1.0203820172373632,0.032617031891050696,1583605.0,21952.0,1.0140568999643327,156074.0,4485.0,1.0295865795011512,10587.0,-12.0,-1.0011334655709834
2020-06-26,115.0,272364.0,3762.0,1.0140058525252977,103619.0,8939.0,178.0,1.0203173153749572,0.032820049639453085,1604521.0,20916.0,1.0132078390760322,159806.0,3732.0,1.0239117341773774,10964.0,377.0,1.0356097100217247
